n,effect_type,dist_type,split_ratio,test,value,result_metric,n_sims
30,null,normal,0.5,fe_split,0.051,type1_error,2000
30,null,normal,0.5,disco_full.p-value,0.0465,type1_error,2000
30,null,t,0.5,fe_split,0.046,type1_error,2000
30,null,t,0.5,disco_full.p-value,0.0485,type1_error,2000
30,mean_shift,normal,0.5,fe_split,0.511,power,2000
30,mean_shift,normal,0.5,disco_full.p-value,0.8465,power,2000
30,mean_shift,t,0.5,fe_split,0.415,power,2000
30,mean_shift,t,0.5,disco_full.p-value,0.742,power,2000
30,variance_shift,normal,0.5,fe_split,0.51,power,2000
30,variance_shift,normal,0.5,disco_full.p-value,0.962,power,2000
30,variance_shift,t,0.5,fe_split,0.4285,power,2000
30,variance_shift,t,0.5,disco_full.p-value,0.8995,power,2000
60,null,normal,0.5,fe_split,0.046,type1_error,2000
60,null,normal,0.5,disco_full.p-value,0.041,type1_error,2000
60,null,t,0.5,fe_split,0.051,type1_error,2000
60,null,t,0.5,disco_full.p-value,0.0525,type1_error,2000
60,mean_shift,normal,0.5,fe_split,0.8455,power,2000
60,mean_shift,normal,0.5,disco_full.p-value,0.9915,power,2000
60,mean_shift,t,0.5,fe_split,0.739,power,2000
60,mean_shift,t,0.5,disco_full.p-value,0.974,power,2000
60,variance_shift,normal,0.5,fe_split,0.9675,power,2000
60,variance_shift,normal,0.5,disco_full.p-value,1,power,2000
60,variance_shift,t,0.5,fe_split,0.919,power,2000
60,variance_shift,t,0.5,disco_full.p-value,1,power,2000
100,null,normal,0.5,fe_split,0.044,type1_error,2000
100,null,normal,0.5,disco_full.p-value,0.0485,type1_error,2000
100,null,t,0.5,fe_split,0.051,type1_error,2000
100,null,t,0.5,disco_full.p-value,0.0465,type1_error,2000
100,mean_shift,normal,0.5,fe_split,0.984,power,2000
100,mean_shift,normal,0.5,disco_full.p-value,1,power,2000
100,mean_shift,t,0.5,fe_split,0.932,power,2000
100,mean_shift,t,0.5,disco_full.p-value,0.9985,power,2000
100,variance_shift,normal,0.5,fe_split,1,power,2000
100,variance_shift,normal,0.5,disco_full.p-value,1,power,2000
100,variance_shift,t,0.5,fe_split,1,power,2000
100,variance_shift,t,0.5,disco_full.p-value,1,power,2000
100,mean_shift,normal,0.1,fe_split,0.383,power,2000
100,mean_shift,normal,0.1,disco_full,NA,power,2000
100,mean_shift,normal,0.3,fe_split,0.869,power,2000
100,mean_shift,normal,0.3,disco_full,NA,power,2000
100,mean_shift,normal,0.5,fe_split,0.977,power,2000
100,mean_shift,normal,0.5,disco_full.p-value,0.9995,power,2000
100,mean_shift,normal,0.7,fe_split,0.998,power,2000
100,mean_shift,normal,0.7,disco_full,NA,power,2000
100,mean_shift,normal,0.9,fe_split,1,power,2000
100,mean_shift,normal,0.9,disco_full,NA,power,2000
